id_client,firm_name
4887815,Социальный фонд России
4942874,Точка банк
4944790,Лаборатория Касперского
4905942,OZON: Старт карьеры
4907133,МТС: СТАРТ КАРЬЕРЫ
11714,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве
4932954,Apple
4944244,Контур
4944476,КРОК
874575,Группа Компаний РУСАГРО
4957734,Disney
14449,SuperJob
191494,НПФ Благосостояние
4959545,DreamWorks
4959764,Amazon
2963005,Хантфлоу
4961511,Туту
4962080,Netflix
3046437,ИРЗ
4243646,Таттелеком
3845930,"ФГУП ""ГосНИИАС"""
874575,ГК Русагро
4070787,Аэропорт Казань
237125,ГАУ МО НИиПИ градостроительства
4959197,"Санаторий ""Лесное"""
4243646,ТАТТЕЛЕКОМ
4905642,Альфа-Банк: Старт карьеры
4904563,VK: Старт карьеры
3595643,Урюпинский крановый завод
4346970,НИИП имени В. В. Тихомирова.
4859700,СПб ГКУ Организатор перевозок
267938,АНО ВО Санкт-Петербургская юридическая академия
4959724,Википедия
4961508,Википедия
4952362,Магнит: Старт Карьеры
89813,Ассоциация ВАСТ
4922230,Сhanel
235578,Банк ВТБ
4876809,БУЗ ВО «Вологодская областная клиническая больница»
173974,Мечел
291920,ФГБОУ ВО Санкт-Петербургский государственный университет
13775,Setl Group
154674,ТК Наша игрушка
4894541,ГБУ ДПО ЦОПП СПб
4959207,Шалин Оскар Андреевич
3758350,Государственная библиотека
860291,Президентская библиотека имени Б. Н. Ельцина
272717,Московский завод ФИЗПРИБОР
3597464,Городская поликлиника №23 ДПО №21
108428,Дальэнергомаш
2914805,ГБОУ Школа № 2053
4953872,ГБОУ Школа № 657
2464328,Хабаровский аэропорт
4564603,"ГКУ ЯНАО ""ИАЦ"""
3551066,Crocus Group
35359,ВЕРТЕК
2722945,ФТС
4412294,Шанхай спецтехника
2962986,АРМК
3599075,Дакс
1975482,Российский государственный художественно-промышленный университет им. С. Г. Строганова
71817,ЭКО центр
51445,Союзснаб
2631007,ЦЕМРОС
3001379,Т1
4596048,Породзинский Андрей Владимирович
314091,"ФГБОУ ВО РГСУ, РГСУ, РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ СОЦИАЛЬНЫЙ УНИВЕРСИТЕТ"
4891649,СПБ ГБ ПОУ «Колледж Петербургской моды»
542741,Российские космические системы
1977505,ТЕЛЛУР-ИНТЕХ
15563,Henderson
4763170,СПбГЭУ
2756555,Санкт-Петербургский морской рыбопромышленный колледж
3959568,"СПб ГКУ ""Центр организации социального обслуживания"""
4273213,Черногорская ГРК
678972,ГОУ СОШ № 1270
2416642,МВД России по Ростовской области
4451620,РЕШЕТНЁВ
335586,«Оборонэнерго»
4918750,НПФ Пакер
4140409,Тульские машины
4853605,Мега-Рост
298376,СПб ГБУЗ МИАЦ
4572294,АГД ДАЙМОНДС
3974341,РТРС
4745650,ФГБУ Российский научный центр рентгенорадиологии Минздрава РФ
2727860,Ювелирный дом Золотая Русь
4353589,UP Grade
2230116,Уральский клинический лечебно-реабилитационный центр им. В. В. Тетюхина
196244,Металл Профиль
528217,Народный доверительный банк
4029196,Завод по переработке пластмасс ПЛАРУС
2081428,"ФГБУ ""НМИЦ AГП им. В. И. Кулакова"" Минздрава России"
514997,Миассмебель-Центр
2063869,МФК Минфина России
4954737,SKIMS
4398800,"Фирма ""Колбико"""
100593,М. Видео-Эльдорадо
11714,Филиал ФКУ «Налог-Сервис» ФНС России по ЦОД в г. Москве
4942854,Аэрофлот
4957726,Добрый
4960349,Торг Сервис Плюс
3117918,УМВД России по Калининскому району
4230892,Акционерное общество «Государственное машиностроительное конструкторское бюро «Вымпел» им. И. И. Торопова»
4882733,УТ МВД РОССИИ ПО СФО
4957980,Отель Югра
3538196,Инфоком
3974341,"Российская телевизионная и радиовещательная сеть, ФГУП"
38260,билайн
4957440,Tesla
4451188,КОМАНДА Ф5
3316052,"СЗРЦ ""Гарант Интернэшнл"""
4535808,Хабаровская ремонтно-монтажная компания
2466656,Российские железные дороги
235578,Банк ВТБ (ПАО)
3440179,Росжелдорпроект
4236166,"АНО ДПО ""АДПО"""
3001379,ИТ-Холдинг Т1
289488,Союзцветметавтоматика им. Топчаева В. П.
4941795,RT
24172,Ростелеком
267737,ТЕЛЕКАРТА
4901219,LiveGames
400494,"КуулКлевер (МясновЪ, Отдохни)"
4353589,"ООО АТК ""Реал"""
38260,Билайн
11714,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г. Москве
3776618,Иркутская районная больница
2466656,"ОАО ""РЖД"""
2985494,"Акционерное общество ""Судостроительный завод ""Море"""
14215,Почта России
4469038,"""ЦЗИ ""Флагман"""
4902137,МФЦ
3382148,СПБ ГБПОУ КОЛЛЕДЖ АВТОМАТИЗАЦИИ ПРОИЗВОДСТВА
4935016,Duolingo
3797376,"ООО ""ЛДМЦ ЭКСИМА"""
4961578,Чалый Роман Юрьевич
4419950,ДИБОРЭКСПОРТ
2635306,Пятёрочка
139568,КРОК
4961470,ПСМ
4821130,«НМИЦ ДГОИ им. Дмитрия Рогачева» Минздрава России
178200,"ПАО ""Т Плюс"""
441150,"СПб ГУП ""Горэлектротранс"""
1996534,Полюс
3512555,Фабрика АХМАД ТИ
2182657,СК РЫБА
2720788,Международный аэропорт Внуково
4752322,ГК Лензолото
282394,"АО ""ИнСис"""
4253438,"Шахтоуправление ""Майское"""
397825,Юго-Западная ТЭЦ
4940742,УЭЗ ФС РФ
692390,Центр Новых Технологий
3940185,ЦЭНКИ
4353589,"ООО ""ПРОФ-НН"""
4484806,"СМОЛЕНСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ"""
3629294,Завод Метеор
4940258,ГК Кронверк
4809124,Федеральное государственное бюджетное учреждение науки Ботанический институт им. В. Л. Комарова Российской академии наук
289082,ТГК-1
3974341,ФГУП РТРС Курганский ОРТПЦ
3797376,"ООО ""ФЕНИКС"""
100593,М.Видео-Эльдорадо
4126093,Волга
4744563,АКС
3462139,Омникомм ДВ
4502734,БСП
4844568,БИФИЛАЙФ
2531979,Башнефть-Розница
4743716,ЛИВЭН МОТОРС РУС
4942669,Росатом
3797376,"ЗАО ""ЛАБИРИНТ-ИНФОРМ"""
4580933,ИС
289082,Территориальная генерирующая компания №1
3797376,"АО ""ПКБ ""РИО"""
4450741,РУССНАБИНЖ
4918750,"Научно-производственная фирма ""Пакер"""
3107146,Академия управления МВД России
4958617,Lasertech
4918378,"ФГБНУ ""РНЦХ ИМ. АКАД. Б. В. ПЕТРОВСКОГО"""
190718,Росгосстрах
4832769,ПК-Сервис
3797376,"ООО ""ВЕРТИКАЛЬ"""
202488,Свеза
